PROGRAMMA,ASSE,LINEA,AZIONE,BANDO_AVVISO,BENEFICIARIO_TITOLO_PROGETTO,AMBITO_INTERVENTO,SETTORE,IMPORTO_CONCESSO_EROGATO,EPR,SEDE,INDIRIZZO,CAP,COMUNE,CODICE_ISTAT,PROVINCIA
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,F.I.R.M. srl,RICERCA E SPERIMENTAZIONE,Green Economy,8000,UNISAL,"Dipartimento di Studi Aziendali, Giuridici ed Ambientali c/o complesso Ecotekne ",via per Monteroni,73100,Lecce ,75035,LE
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,TECNO SEA,RICERCA E SPERIMENTAZIONE,Agroalimentare,"29366,4",UNISAL,"Università del Salento, c/o Di.S.Te.B.A.
",strada prov.le Lecce Monteroni,73100,Lecce ,75035,LE
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,SILVERTECH,RICERCA E SPERIMENTAZIONE,Nuovi Materiali,25512,UNISAL,"Dipartimento Ingegneria dell'Innovazione, Università del Salento",via Monteroni,73100,Lecce ,75035,LE
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,MONITECH,RICERCA E SPERIMENTAZIONE,Green Economy,"41768,4",UNISAL,"Dipartimento di Ingegneria dell'Innovazione, Università del Salento",Piazza Mazzini 56,73100,Lecce ,75035,LE
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,LANDPLANNING Srl,RICERCA E SPERIMENTAZIONE,Green Economy,23174,UNISAL,"Dipartimento di Scienze e Tecnologie Biologiche ed Ambientali, Università del Salento",via Monteroni,73100,Lecce ,75035,LE
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,OFRIDE Srl,RICERCA E SPERIMENTAZIONE,Agroalimentare,36936,UNISAL," Università del Salento, Ecotekne-Disteba-Unisalento",via Monteroni,73100,Lecce ,75035,LE
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,TYPE ONE Srl,RICERCA E SPERIMENTAZIONE,Biotech,29770,UNISAL,"Dipartimento di Scienze e Tecnologie Biologiche ed Ambientali, Ecotekne-Disteba-Unisalento",via Monteroni,73100,Lecce ,75035,LE
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,NITENS Srl,RICERCA E SPERIMENTAZIONE,Green Economy,41625,UNISAL,"Università del Salento, c/o corpo ""O"" della Facoltà di Ingegneria",via Monteroni,73100,Lecce ,75035,LE
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,SPHERA Srl,RICERCA E SPERIMENTAZIONE,Terziario Avanzato,18459,UNISAL,Università del Salento,via Mario Bernardini n 9,73100,Lecce ,75035,LE
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,GREEN CHEMLAB,RICERCA E SPERIMENTAZIONE,Green Economy,12000,UNISAL,"Università del Salento, c/o DiSTeBA
",strada prov.le Lecce Monteroni,73100,Lecce ,75035,LE
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,ESPERO,RICERCA E SPERIMENTAZIONE,Terziario Avanzato,"29655,2",UNISAL,"Dipartimento di Scienze Pedagogiche, Psicologiche e Didattiche, Università del Salento",via Stampacchia n. 45/47,73100,Lecce ,75035,LE
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,BIOTOXEN,RICERCA E SPERIMENTAZIONE,Green Economy,33783,UNISAL,"Dipartimento di Scienze e Tecnologie Biologiche ed Ambientali,  Università del Salento, Ecotekne-Disteba-Unisalento",via Monteroni,73100,Lecce ,75035,LE
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,RESEAUXS,RICERCA E SPERIMENTAZIONE,Green Economy,16340,UNISAL,"Dipartimento di Scienza dei Materiali, Università del Salento",via Monteroni,73100,Lecce ,75035,LE
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,SYNCHIMIA Srl,RICERCA E SPERIMENTAZIONE,Chimica,"11441,36",UNIBA,"Dipartimento di Chimica, Università degli Studi di Bari","via E. Orabona n. 4, 70126, Bari (BA)",70126,Bari,72006,BA
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,DATA QUALITY,RICERCA E SPERIMENTAZIONE,Terziario Avanzato,24900,UNIBA,"Dipartimento di Scienze Statistiche, Università degli Studi di Bari",via Camillo Rosalba n. 53,70124,Bari,72006,BA
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,D.A.BI.MUS,RICERCA E SPERIMENTAZIONE,Beni Culturali,"43027,44",UNIBA,"Dipartimento degli Studi di Scienze Storiche e Geografiche, Università degli Studi di Bari", via Quintino Sella n. 268,70123,Bari,72006,BA
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,INAGRIPROD,RICERCA E SPERIMENTAZIONE,Agroalimentare,12000,UNIBA,"Università degli Studi di Bari, c/o Museo Orto Botanico",via E. Orabona n. 4,70126,Bari,72006,BA
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,OSEL,RICERCA E SPERIMENTAZIONE,ICT,35000,UNIBA,"Dipartimento di Scienze Statistiche, Università degli Studi di Bari",via Camillo Rosalba n. 53,70124,Bari,72006,BA
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,SM&T,RICERCA E SPERIMENTAZIONE,Biotech,19130,CNR,c/o dott. Andrea Camposeo,via Guido Dorso n. 48,73100,Lecce ,75035,LE
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,Polishape 3D Srl,RICERCA E SPERIMENTAZIONE,ICT,43520,POLIBA,"Dipartimento di Ingegneria Meccanica e Gestionale, Università degli Studi di Bari",viale Japigia 182,70126,Bari,72006,BA
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,DES srl,RICERCA E SPERIMENTAZIONE,Meccatronica,46644,POLIBA,"Dipartimento di Ingegneria ,eccanica e Gestionale del Politecnico, Università degli Studi di Bari",viale Japigia 182,70126,Bari,72006,BA
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,TINADA S.r.l.,RICERCA E SPERIMENTAZIONE,Beni Culturali,24900,UNIFG,"Dipartimento di Scienze Umane, Università degli Studi di Foggia",via Arpi n. 155,71100,Foggia,71024,FG
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,BIO2-Xygen Srl,RICERCA E SPERIMENTAZIONE,Chimica,10500,UNIFG,Università degli Studi di Foggia,via Gramsci n. 24,71100,Foggia,71024,FG
PO FESR 2007-2013,1,1.2,1.2.3,Erogazione di servizi per le Spin Off ad alto contenuto di conoscenza,BiocomLAB S.r.l.,RICERCA E SPERIMENTAZIONE,Biotech,35000,UNIBA/UNIFG,Università Studi di Bari,"via G. Amendola, n. 165/A",70126,Bari,72006,BA
